2019-04-12 12:35:50 INFO - Client request 21 requesting room XG14 on day 3, timeslot 11-12, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 55 requesting room T101 on day 1, timeslot 11-12, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 26 requesting room XG14 on day 4, timeslot 1-2, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 57 requesting room XG14 on day 2, timeslot 10-11, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 23 requesting room T101 on day 1, timeslot 10-11, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 56 requesting room CG04 on day 1, timeslot 10-11, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 58 requesting room L221 on day 2, timeslot 12-1, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 59 requesting room L221 on day 4, timeslot 9-10, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 60 requesting room L221 on day 2, timeslot 12-1, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 61 requesting room L221 on day 3, timeslot 1-2, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 62 requesting room XG14 on day 1, timeslot 1-2, at 1 seconds 
2019-04-12 12:35:50 INFO - Client request 63 requesting room XG14 on day 1, timeslot 11-12, at 1 seconds 
2019-04-12 12:35:51 INFO - Client request 67 requesting room XG14 on day 3, timeslot 10-11, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 64 requesting room XG14 on day 2, timeslot 9-10, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 68 requesting room CG04 on day 6, timeslot 11-12, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 69 requesting room T101 on day 2, timeslot 10-11, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 70 requesting room T101 on day 4, timeslot 11-12, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 79 requesting room T101 on day 6, timeslot 11-12, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 74 requesting room CG04 on day 1, timeslot 1-2, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 78 requesting room L221 on day 6, timeslot 1-2, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 73 requesting room XG14 on day 5, timeslot 11-12, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 77 requesting room XG14 on day 4, timeslot 9-10, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 85 requesting room XG14 on day 2, timeslot 9-10, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 86 requesting room CG04 on day 5, timeslot 1-2, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 76 requesting room T101 on day 3, timeslot 9-10, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 68 requesting room CG04 on day 3, timeslot 10-11, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 75 requesting room XG14 on day 1, timeslot 12-1, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 90 requesting room XG14 on day 1, timeslot 9-10, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 72 requesting room CG04 on day 6, timeslot 12-1, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 71 requesting room T101 on day 5, timeslot 12-1, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 89 requesting room T101 on day 4, timeslot 12-1, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 94 requesting room CG04 on day 4, timeslot 11-12, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 88 requesting room CG04 on day 1, timeslot 9-10, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 91 requesting room CG04 on day 2, timeslot 11-12, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 95 requesting room T101 on day 2, timeslot 11-12, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 87 requesting room L221 on day 6, timeslot 12-1, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 82 requesting room XG14 on day 1, timeslot 9-10, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 84 requesting room L221 on day 2, timeslot 10-11, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 83 requesting room CG04 on day 2, timeslot 12-1, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 81 requesting room L221 on day 4, timeslot 10-11, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 96 requesting room T101 on day 6, timeslot 10-11, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 98 requesting room L221 on day 5, timeslot 1-2, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 64 requesting room CG04 on day 3, timeslot 10-11, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 80 requesting room XG14 on day 3, timeslot 1-2, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 67 requesting room CG04 on day 3, timeslot 12-1, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 93 requesting room L221 on day 2, timeslot 12-1, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 92 requesting room CG04 on day 5, timeslot 9-10, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 102 requesting room T101 on day 2, timeslot 9-10, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 103 requesting room L221 on day 2, timeslot 1-2, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 101 requesting room T101 on day 2, timeslot 1-2, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 100 requesting room CG04 on day 5, timeslot 10-11, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 99 requesting room T101 on day 4, timeslot 1-2, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 104 requesting room T101 on day 2, timeslot 11-12, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 105 requesting room CG04 on day 1, timeslot 11-12, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 106 requesting room T101 on day 5, timeslot 12-1, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 107 requesting room CG04 on day 5, timeslot 10-11, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 108 requesting room T101 on day 3, timeslot 11-12, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 109 requesting room XG14 on day 6, timeslot 11-12, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 73 requesting room L221 on day 3, timeslot 9-10, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 110 requesting room L221 on day 2, timeslot 12-1, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 111 requesting room CG04 on day 1, timeslot 10-11, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 74 requesting room CG04 on day 2, timeslot 9-10, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 112 requesting room XG14 on day 3, timeslot 9-10, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 113 requesting room CG04 on day 5, timeslot 11-12, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 115 requesting room T101 on day 2, timeslot 11-12, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 91 requesting room L221 on day 2, timeslot 12-1, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 114 requesting room XG14 on day 5, timeslot 11-12, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 76 requesting room T101 on day 5, timeslot 10-11, at 2 seconds 
2019-04-12 12:35:51 INFO - Client request 69 requesting room L221 on day 1, timeslot 12-1, at 2 seconds 
2019-04-12 12:35:52 INFO - Client request 116 requesting room L221 on day 1, timeslot 9-10, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 124 requesting room XG14 on day 6, timeslot 9-10, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 125 requesting room XG14 on day 5, timeslot 10-11, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 126 requesting room CG04 on day 5, timeslot 11-12, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 129 requesting room CG04 on day 2, timeslot 1-2, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 123 requesting room XG14 on day 3, timeslot 1-2, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 127 requesting room T101 on day 6, timeslot 1-2, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 128 requesting room CG04 on day 4, timeslot 10-11, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 132 requesting room L221 on day 6, timeslot 11-12, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 130 requesting room L221 on day 3, timeslot 12-1, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 139 requesting room XG14 on day 5, timeslot 12-1, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 138 requesting room CG04 on day 5, timeslot 11-12, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 142 requesting room CG04 on day 4, timeslot 9-10, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 143 requesting room L221 on day 6, timeslot 10-11, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 144 requesting room T101 on day 4, timeslot 9-10, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 131 requesting room T101 on day 3, timeslot 9-10, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 141 requesting room T101 on day 3, timeslot 10-11, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 140 requesting room L221 on day 5, timeslot 10-11, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 126 requesting room XG14 on day 1, timeslot 9-10, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 136 requesting room XG14 on day 4, timeslot 1-2, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 135 requesting room XG14 on day 6, timeslot 11-12, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 127 requesting room CG04 on day 3, timeslot 11-12, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 137 requesting room T101 on day 3, timeslot 9-10, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 132 requesting room L221 on day 2, timeslot 1-2, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 145 requesting room XG14 on day 6, timeslot 1-2, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 134 requesting room XG14 on day 5, timeslot 12-1, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 125 requesting room T101 on day 5, timeslot 9-10, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 116 requesting room L221 on day 2, timeslot 9-10, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 133 requesting room L221 on day 6, timeslot 1-2, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 146 requesting room T101 on day 6, timeslot 10-11, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 147 requesting room CG04 on day 6, timeslot 9-10, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 123 requesting room T101 on day 4, timeslot 11-12, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 148 requesting room CG04 on day 3, timeslot 9-10, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 124 requesting room L221 on day 6, timeslot 11-12, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 149 requesting room T101 on day 3, timeslot 12-1, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 130 requesting room L221 on day 5, timeslot 11-12, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 150 requesting room T101 on day 6, timeslot 9-10, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 126 requesting room L221 on day 2, timeslot 11-12, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 144 requesting room L221 on day 5, timeslot 10-11, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 151 requesting room XG14 on day 1, timeslot 10-11, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 128 requesting room L221 on day 6, timeslot 12-1, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 152 requesting room T101 on day 6, timeslot 11-12, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 153 requesting room T101 on day 4, timeslot 1-2, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 154 requesting room L221 on day 4, timeslot 9-10, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 155 requesting room XG14 on day 2, timeslot 12-1, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 136 requesting room CG04 on day 2, timeslot 1-2, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 140 requesting room XG14 on day 5, timeslot 12-1, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 127 requesting room T101 on day 1, timeslot 1-2, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 129 requesting room XG14 on day 5, timeslot 11-12, at 3 seconds 
2019-04-12 12:35:52 INFO - Client request 141 requesting room T101 on day 4, timeslot 11-12, at 3 seconds 
2019-04-12 12:35:53 INFO - Client request 135 requesting room CG04 on day 1, timeslot 10-11, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 173 requesting room XG14 on day 2, timeslot 10-11, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 174 requesting room XG14 on day 6, timeslot 1-2, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 177 requesting room CG04 on day 2, timeslot 9-10, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 179 requesting room T101 on day 6, timeslot 11-12, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 175 requesting room L221 on day 3, timeslot 11-12, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 176 requesting room CG04 on day 2, timeslot 11-12, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 181 requesting room L221 on day 4, timeslot 1-2, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 180 requesting room T101 on day 3, timeslot 10-11, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 178 requesting room CG04 on day 1, timeslot 10-11, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 182 requesting room T101 on day 1, timeslot 10-11, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 183 requesting room CG04 on day 1, timeslot 9-10, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 184 requesting room XG14 on day 3, timeslot 12-1, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 185 requesting room XG14 on day 2, timeslot 10-11, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 135 requesting room CG04 on day 6, timeslot 11-12, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 187 requesting room XG14 on day 1, timeslot 9-10, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 174 requesting room CG04 on day 6, timeslot 12-1, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 186 requesting room XG14 on day 3, timeslot 9-10, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 189 requesting room XG14 on day 4, timeslot 10-11, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 182 requesting room T101 on day 1, timeslot 9-10, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 190 requesting room T101 on day 6, timeslot 11-12, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 193 requesting room CG04 on day 4, timeslot 12-1, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 195 requesting room L221 on day 3, timeslot 9-10, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 188 requesting room CG04 on day 4, timeslot 12-1, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 196 requesting room L221 on day 6, timeslot 9-10, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 198 requesting room CG04 on day 2, timeslot 9-10, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 199 requesting room CG04 on day 4, timeslot 11-12, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 194 requesting room XG14 on day 1, timeslot 9-10, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 180 requesting room T101 on day 4, timeslot 9-10, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 192 requesting room CG04 on day 5, timeslot 12-1, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 191 requesting room T101 on day 2, timeslot 12-1, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 204 requesting room CG04 on day 5, timeslot 10-11, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 197 requesting room CG04 on day 2, timeslot 1-2, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 207 requesting room XG14 on day 3, timeslot 1-2, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 208 requesting room CG04 on day 4, timeslot 10-11, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 209 requesting room T101 on day 1, timeslot 9-10, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 211 requesting room CG04 on day 3, timeslot 12-1, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 212 requesting room XG14 on day 3, timeslot 9-10, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 214 requesting room XG14 on day 2, timeslot 1-2, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 215 requesting room CG04 on day 2, timeslot 10-11, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 216 requesting room L221 on day 1, timeslot 12-1, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 218 requesting room T101 on day 6, timeslot 12-1, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 200 requesting room CG04 on day 5, timeslot 1-2, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 203 requesting room L221 on day 6, timeslot 9-10, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 202 requesting room L221 on day 6, timeslot 1-2, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 201 requesting room T101 on day 3, timeslot 1-2, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 217 requesting room L221 on day 2, timeslot 11-12, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 213 requesting room CG04 on day 3, timeslot 10-11, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 210 requesting room XG14 on day 4, timeslot 1-2, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 206 requesting room T101 on day 1, timeslot 1-2, at 4 seconds 
2019-04-12 12:35:53 INFO - Client request 205 requesting room L221 on day 1, timeslot 1-2, at 4 seconds 
2019-04-12 12:35:54 INFO - Client request 219 requesting room T101 on day 3, timeslot 9-10, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 224 requesting room CG04 on day 3, timeslot 1-2, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 225 requesting room XG14 on day 6, timeslot 9-10, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 227 requesting room T101 on day 2, timeslot 9-10, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 226 requesting room T101 on day 5, timeslot 1-2, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 228 requesting room XG14 on day 5, timeslot 10-11, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 229 requesting room XG14 on day 1, timeslot 1-2, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 230 requesting room CG04 on day 2, timeslot 10-11, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 224 requesting room L221 on day 3, timeslot 11-12, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 225 requesting room T101 on day 4, timeslot 12-1, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 231 requesting room L221 on day 2, timeslot 11-12, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 233 requesting room T101 on day 2, timeslot 10-11, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 232 requesting room T101 on day 3, timeslot 10-11, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 226 requesting room T101 on day 2, timeslot 10-11, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 235 requesting room T101 on day 1, timeslot 1-2, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 234 requesting room CG04 on day 4, timeslot 11-12, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 236 requesting room CG04 on day 3, timeslot 10-11, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 237 requesting room T101 on day 1, timeslot 10-11, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 238 requesting room L221 on day 3, timeslot 1-2, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 239 requesting room T101 on day 1, timeslot 11-12, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 240 requesting room XG14 on day 1, timeslot 10-11, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 241 requesting room CG04 on day 1, timeslot 12-1, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 242 requesting room L221 on day 1, timeslot 12-1, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 243 requesting room L221 on day 4, timeslot 9-10, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 225 requesting room CG04 on day 6, timeslot 10-11, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 224 requesting room L221 on day 6, timeslot 10-11, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 227 requesting room XG14 on day 3, timeslot 11-12, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 230 requesting room L221 on day 3, timeslot 9-10, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 244 requesting room CG04 on day 4, timeslot 1-2, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 245 requesting room CG04 on day 3, timeslot 10-11, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 246 requesting room L221 on day 3, timeslot 11-12, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 232 requesting room XG14 on day 3, timeslot 10-11, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 247 requesting room T101 on day 4, timeslot 10-11, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 248 requesting room L221 on day 1, timeslot 9-10, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 238 requesting room XG14 on day 3, timeslot 12-1, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 250 requesting room CG04 on day 6, timeslot 11-12, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 249 requesting room T101 on day 3, timeslot 1-2, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 251 requesting room T101 on day 1, timeslot 9-10, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 252 requesting room T101 on day 2, timeslot 9-10, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 241 requesting room XG14 on day 5, timeslot 10-11, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 233 requesting room T101 on day 5, timeslot 12-1, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 234 requesting room L221 on day 6, timeslot 9-10, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 253 requesting room L221 on day 2, timeslot 12-1, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 255 requesting room CG04 on day 2, timeslot 9-10, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 254 requesting room T101 on day 2, timeslot 1-2, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 256 requesting room CG04 on day 6, timeslot 12-1, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 240 requesting room T101 on day 2, timeslot 1-2, at 5 seconds 
2019-04-12 12:35:54 INFO - Client request 257 requesting room XG14 on day 3, timeslot 1-2, at 5 seconds 
2019-04-12 12:35:55 INFO - Client request 258 requesting room L221 on day 5, timeslot 12-1, at 6 seconds 
2019-04-12 12:35:55 INFO - Client request 265 requesting room XG14 on day 3, timeslot 1-2, at 6 seconds 
2019-04-12 12:35:55 INFO - Client request 266 requesting room T101 on day 1, timeslot 11-12, at 6 seconds 
2019-04-12 12:35:55 INFO - Client request 267 requesting room XG14 on day 6, timeslot 11-12, at 6 seconds 
2019-04-12 12:35:55 INFO - Client request 268 requesting room CG04 on day 6, timeslot 11-12, at 6 seconds 
2019-04-12 12:35:55 INFO - Client request 269 requesting room CG04 on day 6, timeslot 10-11, at 6 seconds 
2019-04-12 12:35:55 INFO - Client request 270 requesting room L221 on day 1, timeslot 12-1, at 6 seconds 
2019-04-12 12:35:55 INFO - Client request 271 requesting room XG14 on day 2, timeslot 1-2, at 6 seconds 
